Data,dir,FB,IForest,Average KNN,LOF,OCSVM,PCA
0,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0001.csv,0.6331,0.3232,0.2866,0.6218,0.4421,0.5403
1,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0002.csv,0.6321,0.33,0.2866,0.6088,0.4856,0.5916
2,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0003.csv,0.5702,0.3221,0.2648,0.5489,0.4645,0.585
3,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0004.csv,0.6051,0.3514,0.2561,0.5358,0.4374,0.5493
4,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0005.csv,0.6128,0.3033,0.2705,0.5779,0.4267,0.546
5,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0006.csv,0.6298,0.3368,0.285,0.5978,0.4756,0.6035
6,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0007.csv,0.5979,0.3456,0.2797,0.5876,0.454,0.5539
7,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0008.csv,0.6189,0.3643,0.2829,0.6141,0.4491,0.5479
8,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0009.csv,0.5925,0.3175,0.2842,0.5585,0.4195,0.5132
9,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0010.csv,0.6212,0.3389,0.2867,0.6054,0.4395,0.5602
10,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0011.csv,0.6132,0.3564,0.2928,0.5849,0.4574,0.5684
11,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0012.csv,0.6368,0.3335,0.2934,0.6306,0.4548,0.5408
12,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0013.csv,0.6027,0.3622,0.2943,0.5755,0.4666,0.5932
13,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0014.csv,0.5968,0.3273,0.2746,0.5694,0.4425,0.5489
14,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0015.csv,0.5874,0.3387,0.2704,0.5599,0.4766,0.5943
15,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0016.csv,0.5947,0.3288,0.2881,0.6014,0.4429,0.5942
16,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0017.csv,0.6291,0.3342,0.2902,0.5771,0.4488,0.537
17,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0018.csv,0.6213,0.3759,0.2878,0.5908,0.4865,0.6002
18,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0019.csv,0.604,0.3502,0.2817,0.5668,0.4601,0.5785
19,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0020.csv,0.6241,0.3163,0.2737,0.5972,0.4288,0.5313
20,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0021.csv,0.6156,0.2123,0.2601,0.5848,0.277,0.2335
21,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0022.csv,0.5661,0.2275,0.3748,0.5101,0.2611,0.3646
22,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0023.csv,0.6042,0.229,0.4074,0.5366,0.3219,0.4556
23,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0024.csv,0.5179,0.2042,0.3667,0.5218,0.2631,0.3988
24,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0025.csv,0.5609,0.2116,0.2763,0.53,0.2549,0.2294
25,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0026.csv,0.5777,0.1941,0.2498,0.5708,0.2487,0.2354
26,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0027.csv,0.543,0.237,0.2899,0.5468,0.2846,0.2365
27,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0028.csv,0.5619,0.1884,0.2684,0.5655,0.2144,0.2325
28,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0029.csv,0.5228,0.1923,0.3462,0.499,0.2119,0.3613
29,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0030.csv,0.5681,0.2201,0.2755,0.5996,0.255,0.1845
30,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0031.csv,0.57,0.197,0.2508,0.5586,0.2383,0.2181
31,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0032.csv,0.5122,0.1847,0.3094,0.5385,0.2643,0.2954
32,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0033.csv,0.5608,0.2099,0.3446,0.5512,0.2495,0.333
33,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0034.csv,0.5716,0.2121,0.2702,0.5747,0.2671,0.2291
34,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0035.csv,0.5398,0.1889,0.3137,0.5445,0.2146,0.2632
35,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0036.csv,0.6042,0.251,0.317,0.6017,0.2981,0.2488
36,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0037.csv,0.5534,0.1751,0.367,0.5594,0.2394,0.3184
37,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0038.csv,0.5542,0.2163,0.2745,0.5554,0.2795,0.1873
38,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0039.csv,0.5951,0.1924,0.2649,0.5484,0.2428,0.2318
39,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0040.csv,0.6029,0.2096,0.2726,0.5742,0.2514,0.2211
40,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0041.csv,0.6357,0.3483,0.3019,0.6168,0.4605,0.5542
41,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0042.csv,0.6171,0.3417,0.2982,0.5801,0.4655,0.5479
42,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0043.csv,0.6477,0.3673,0.3114,0.601,0.4423,0.5661
43,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0044.csv,0.6067,0.2984,0.268,0.5747,0.4094,0.5388
44,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0045.csv,0.6164,0.3378,0.2801,0.5808,0.4755,0.6031
45,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0046.csv,0.5874,0.308,0.2654,0.5773,0.4329,0.5587
46,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0047.csv,0.5863,0.3546,0.2929,0.5611,0.4832,0.5841
47,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0048.csv,0.6174,0.3384,0.2943,0.5741,0.453,0.5836
48,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0049.csv,0.6401,0.378,0.2999,0.5878,0.4959,0.5723
49,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0050.csv,0.5949,0.3397,0.2946,0.5549,0.4818,0.5759
50,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0051.csv,0.5805,0.3359,0.2786,0.5798,0.436,0.5581
51,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0052.csv,0.5911,0.2963,0.2613,0.5903,0.4275,0.56
52,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0053.csv,0.6322,0.3386,0.2947,0.6178,0.4513,0.5621
53,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0054.csv,0.6181,0.3387,0.2866,0.58,0.4604,0.5387
54,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0055.csv,0.5856,0.3136,0.2697,0.5838,0.4427,0.5692
55,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0056.csv,0.6288,0.3498,0.2816,0.6056,0.4447,0.5666
56,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0057.csv,0.6229,0.3336,0.272,0.6014,0.4604,0.5503
57,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0058.csv,0.6465,0.3068,0.2799,0.6391,0.4458,0.5429
58,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0059.csv,0.6005,0.3862,0.2924,0.5747,0.4617,0.5675
59,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0060.csv,0.6065,0.3429,0.306,0.5983,0.4728,0.5625
60,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0061.csv,0.5961,0.3202,0.2766,0.5897,0.4302,0.5696
61,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0062.csv,0.5845,0.3532,0.2851,0.6205,0.4297,0.5888
62,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0063.csv,0.6164,0.2923,0.2646,0.5919,0.4245,0.5352
63,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0064.csv,0.582,0.3202,0.2834,0.6071,0.4401,0.5518
64,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0065.csv,0.6398,0.31,0.2801,0.5848,0.4533,0.5296
65,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0066.csv,0.623,0.3174,0.2842,0.626,0.4601,0.5747
66,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0067.csv,0.59,0.3266,0.2777,0.6032,0.4588,0.5614
67,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0068.csv,0.5993,0.3366,0.2956,0.5862,0.4413,0.5246
68,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0069.csv,0.6466,0.3551,0.2973,0.6072,0.4546,0.5894
69,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0070.csv,0.6626,0.3174,0.2787,0.6124,0.4481,0.5687
70,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0071.csv,0.6377,0.3322,0.2804,0.5723,0.4559,0.5321
71,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0072.csv,0.6077,0.3373,0.2709,0.6035,0.4542,0.5891
72,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0073.csv,0.6291,0.3206,0.2883,0.6409,0.4516,0.5573
73,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0074.csv,0.6693,0.3544,0.2912,0.6429,0.4746,0.5508
74,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0075.csv,0.581,0.3069,0.2774,0.5771,0.3978,0.5178
75,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0076.csv,0.5958,0.3494,0.2822,0.5885,0.4349,0.5521
76,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0077.csv,0.605,0.3213,0.2666,0.5629,0.4323,0.5667
77,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0078.csv,0.6217,0.3758,0.2861,0.6056,0.4855,0.5767
78,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0079.csv,0.612,0.3598,0.3,0.5775,0.4683,0.5743
79,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0080.csv,0.6079,0.3543,0.2766,0.5983,0.4982,0.5824
80,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0081.csv,0.5609,0.2173,0.2825,0.5756,0.2579,0.2321
81,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0082.csv,0.5882,0.2077,0.3079,0.5586,0.2897,0.2709
82,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0083.csv,0.5705,0.1802,0.2545,0.5997,0.2438,0.2319
83,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0084.csv,0.5463,0.2028,0.2717,0.5574,0.2574,0.1834
84,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0085.csv,0.5964,0.1872,0.29,0.557,0.223,0.2336
85,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0086.csv,0.6141,0.1864,0.2732,0.625,0.2578,0.2284
86,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0087.csv,0.53,0.2203,0.3954,0.5327,0.2588,0.4065
87,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0088.csv,0.5053,0.1661,0.335,0.4755,0.2341,0.4267
88,/Users/suxiangying/Documents/skin_benchmarks/skin/benchmarks/skin_benchmark_0089.csv,0.5696,0.2301,0.2833,0.557,0.3028,0.2082
